date,description,amount,category
2026-01-05,Checkers - groceries,-450.50,
2026-01-05,Uber Trip,-85.00,Transport
2026-01-06,NETFLIX,-159.00,
2026-01-06,Salary,12000.00,Income
2026-01-07,CHECKERS - bread and milk,-120.00,
2026-01-08,uber to sandton,-110.50,transport
2026-01-09,Netflix,-159.00,entertainment
2026-01-09,SALARY bonus,1500.00,income
2026-01-10,Takealot - headphones,-899.00,
2026-01-10,ENGEN petrol,-450.00,Transport
2026-01-11,woolworths lunch,-65.00,food
2026-01-11,Woolworths - dinner,-130.00,Food
2026-01-12,capitec bank charges,-45.00,
2026-01-12,Uber Eats,-210.00,Food
2026-01-12,uber eats,-210.00,Food
2026-01-13,Takealot - phone charger,-250.00,electronics
2026-01-14,Engen Garage,-400.00,transport
2026-01-15,Netflix subscription,-159.00,Entertainment
2026-01-15,Checkers groceries,-320.00,groceries
